gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
SLC4A2	-0.859620141	0.353323784	-14.08374933	7.97E-40	7.68E-39	79.58999061
CFLAR	-0.586247891	0.074207204	-14.07950452	8.35E-40	8.04E-39	79.54355501
BMPR1B	-0.865185953	0.451525513	-14.07750131	8.54E-40	8.22E-39	79.52164383
ANKRD54	0.708345894	-0.312477804	14.07654906	8.63E-40	8.30E-39	79.51122867
SERPINB1	-2.04731548	-0.479059033	-14.07272627	9.00E-40	8.66E-39	79.46942123
BGN	-0.98539432	0.531091348	-14.07064076	9.21E-40	8.85E-39	79.4466159
SFPQ	1.053978317	-0.40709253	14.0692948	9.34E-40	8.98E-39	79.43189876
CLASP2	0.692706487	-0.270689622	14.06882449	9.39E-40	9.02E-39	79.42675642
PCDHB14	0.815232924	0.195184453	14.06868507	9.41E-40	9.03E-39	79.42523194
ARRDC2	-1.836593994	0.184248662	-14.06463195	9.84E-40	9.44E-39	79.38091951
PER2	1.320003123	-0.002324261	14.06446047	9.86E-40	9.45E-39	79.37904485
WBP2NL	0.352776174	0.130501559	14.06401993	9.90E-40	9.49E-39	79.37422899
CNTN5	1.41791568	-0.911298699	14.06233308	1.01E-39	9.67E-39	79.35578925
PLTP	-0.797527063	0.55001445	-14.05878788	1.05E-39	1.00E-38	79.31703924
GIMAP5	-0.728768723	0.103993518	-14.05545686	1.09E-39	1.04E-38	79.2806351
PIGA	-1.06209058	-0.252885918	-14.05195584	1.13E-39	1.08E-38	79.24237833
FCGR1B	-1.621330566	-0.662898603	-14.04801522	1.18E-39	1.13E-38	79.19932431
KMO	1.567923807	-0.235165454	14.04780951	1.18E-39	1.13E-38	79.19707693
NPPA	1.051510073	-0.58803634	14.04748339	1.19E-39	1.13E-38	79.19351421
KRTAP4.14	0.555286665	-0.1538657	14.04613059	1.21E-39	1.15E-38	79.17873576
GLI1	-1.569304026	0.499909325	-14.04560046	1.21E-39	1.16E-38	79.17294467
STK24	0.403845282	0.014034687	14.04329243	1.24E-39	1.19E-38	79.14773331
NRBF2	0.822035229	-0.452973519	14.04235449	1.26E-39	1.20E-38	79.13748858
GIMAP6	-0.701650196	0.105899675	-14.0418408	1.26E-39	1.20E-38	79.13187784
GPC4	-1.519013993	-0.225280125	-14.0401083	1.29E-39	1.23E-38	79.11295585
EHD1	-0.951950113	0.053344923	-14.0394379	1.30E-39	1.24E-38	79.10563419
C5AR1	-2.129092312	0.398557708	-14.03700906	1.33E-39	1.27E-38	79.07910978
CPSF1	-0.983499893	0.299050071	-14.03699881	1.33E-39	1.27E-38	79.07899783
FBXO18	-0.526197192	0.259211514	-14.0351231	1.36E-39	1.29E-38	79.05851574
SPIRE2	0.466513268	-0.129135237	14.0276086	1.48E-39	1.40E-38	78.97647514
ZCCHC17	0.476789571	0.018668803	14.02640767	1.50E-39	1.42E-38	78.96336603
MAP3K3	-0.470668884	0.092588035	-14.02216816	1.57E-39	1.49E-38	78.91709368
PRPF39	-0.715769799	0.227635286	-14.02086449	1.59E-39	1.51E-38	78.90286629
ARHGEF9	0.576431401	-0.41550461	14.01850819	1.63E-39	1.55E-38	78.87715298
CALML3	1.025065988	0.274052158	14.01801411	1.64E-39	1.56E-38	78.87176164
PARD3	-0.669846034	0.355229584	-14.01733982	1.66E-39	1.57E-38	78.86440402
ZRSR2	-1.257379655	-0.131395729	-14.01566377	1.69E-39	1.60E-38	78.84611626
MAP3K9	1.273376868	-0.813166542	14.01467538	1.70E-39	1.61E-38	78.83533235
DISC1	0.76462298	-0.046528315	14.01285791	1.74E-39	1.64E-38	78.81550374
C1orf212	0.882392145	-0.483645275	14.01240189	1.75E-39	1.65E-38	78.81052882
WDFY2	-0.994299241	-0.188431437	-14.0117865	1.76E-39	1.66E-38	78.80381538
STEAP3	-0.716453906	0.161910452	-14.01058327	1.78E-39	1.68E-38	78.79068945
DKFZp761P0212	-0.603212807	-0.123526495	-14.00938443	1.81E-39	1.71E-38	78.77761213
RASSF5	1.973771741	-1.641675473	14.00874473	1.82E-39	1.72E-38	78.77063434
NDUFA9	0.630765982	-0.250977019	14.00656997	1.86E-39	1.76E-38	78.74691354
GNG5	-0.838602507	-0.177329413	-14.00396604	1.92E-39	1.81E-38	78.71851435
SNAP25	2.369617514	0.410166477	14.00096761	1.98E-39	1.87E-38	78.68581624
C20orf132	0.5776244	-0.063359187	13.9991886	2.02E-39	1.90E-38	78.66641785
COPS4	1.661139328	-1.359204789	13.99713123	2.07E-39	1.94E-38	78.64398588
C6orf192	-1.189391884	0.31208508	-13.99712532	2.07E-39	1.94E-38	78.64392146
SELS	0.478444162	-0.227845869	13.9904614	2.22E-39	2.09E-38	78.57127622
ATP5L2	0.629464677	0.078326636	13.99016619	2.23E-39	2.10E-38	78.5680584
RCC1	-1.553356218	0.266350251	-13.98984359	2.24E-39	2.10E-38	78.56454221
VASN	-1.765612565	0.16298918	-13.98930659	2.25E-39	2.11E-38	78.55868923
LRRC8B	1.535244754	-1.017619891	13.98583333	2.34E-39	2.20E-38	78.52083559
CHN1	1.990007036	-0.479968032	13.98104803	2.47E-39	2.31E-38	78.46869132
CD47	0.940682104	-0.589381679	13.98101021	2.47E-39	2.31E-38	78.4682792
PAQR9	0.937722647	-0.450897263	13.98053604	2.48E-39	2.32E-38	78.46311285
C3orf28	1.487052804	-0.912085905	13.97850853	2.54E-39	2.38E-38	78.44102303
TOX4	0.588101551	-0.382654391	13.97723193	2.57E-39	2.41E-38	78.42711535
APOO	0.748506425	-0.529184818	13.97553267	2.62E-39	2.45E-38	78.40860413
PI4KAP2	0.369069628	-0.234475038	13.9738279	2.67E-39	2.50E-38	78.39003418
SF3A2	0.387213336	0.407703939	13.97356182	2.68E-39	2.50E-38	78.3871359
C11orf32	0.869926515	-0.325978308	13.96901435	2.81E-39	2.63E-38	78.33760724
HOMER3	-0.701732489	0.01166154	-13.96847961	2.83E-39	2.64E-38	78.33178371
ST6GALNAC3	-0.423904595	0.076345363	-13.96792432	2.85E-39	2.66E-38	78.32573655
PDCD10	0.923572651	-0.077621086	13.96755335	2.86E-39	2.67E-38	78.3216967
MAGED1	1.125333442	-0.628679078	13.96520835	2.93E-39	2.74E-38	78.29616127
SLC26A2	-1.531925769	0.231843508	-13.96423516	2.96E-39	2.76E-38	78.28556462
RRAGB	1.039668897	-1.159075249	13.96349355	2.99E-39	2.79E-38	78.27748985
PFTK1	1.178538505	-0.18193677	13.96292611	3.01E-39	2.80E-38	78.27131162
MRVI1	-2.051588243	-0.080708833	-13.96188731	3.04E-39	2.83E-38	78.2600016
GCNT1	0.888526792	-0.363140638	13.95927739	3.13E-39	2.91E-38	78.23158796
ELAVL4	1.474739959	-0.604348905	13.95772	3.18E-39	2.96E-38	78.2146344
YWHAH	1.302596755	-0.623657058	13.95629743	3.23E-39	3.01E-38	78.19914941
NPTN	0.876087137	-0.631106547	13.95342313	3.34E-39	3.10E-38	78.16786484
DHX36	1.008475778	-0.617691607	13.95280676	3.36E-39	3.12E-38	78.16115646
FAM59B	-1.604352166	0.28698936	-13.9527048	3.36E-39	3.12E-38	78.16004688
TSPAN13	1.77112727	-0.755621785	13.95183322	3.40E-39	3.15E-38	78.15056134
ZFYVE26	-0.60579956	-0.169001802	-13.9511141	3.42E-39	3.18E-38	78.14273525
GSN	-1.621810166	0.573524392	-13.9500578	3.46E-39	3.21E-38	78.13124025
GABRB2	1.124951687	-0.672346258	13.94985736	3.47E-39	3.22E-38	78.12905899
MEOX2	-0.482589465	0.110241165	-13.94966286	3.48E-39	3.22E-38	78.12694247
CCNH	1.195741198	-0.532399313	13.94898766	3.50E-39	3.24E-38	78.11959499
RTEL1	-0.9444979	0.133172276	-13.94898376	3.50E-39	3.24E-38	78.11955255
LOC284952	1.387068101	-0.832026785	13.94750038	3.56E-39	3.29E-38	78.10341138
DOCK6	-0.546979601	0.352082291	-13.94692876	3.58E-39	3.31E-38	78.09719168
SUDS3	0.708495011	-0.284604252	13.94659389	3.60E-39	3.32E-38	78.09354799
RB1CC1	0.932682965	-0.131622691	13.94568206	3.63E-39	3.36E-38	78.08362683
KIT	1.599127125	-0.626344096	13.94527252	3.65E-39	3.37E-38	78.079171
CIAPIN1	0.688022307	-0.496767839	13.94375325	3.71E-39	3.42E-38	78.06264173
RLBP1L1	1.257417988	-0.746740643	13.94364077	3.72E-39	3.43E-38	78.0614181
SLC25A46	1.049366133	-0.765948971	13.93951899	3.89E-39	3.58E-38	78.01657946
SNX25	0.375070108	0.105659089	13.93888673	3.91E-39	3.61E-38	78.00970212
C16orf59	0.938840712	-0.569173524	13.93339711	4.16E-39	3.83E-38	77.94999672
C7orf27	-0.672716652	0.315827219	-13.93330566	4.16E-39	3.83E-38	77.94900219
MMP14	-1.212453785	-0.145549331	-13.93184687	4.23E-39	3.89E-38	77.9331386
RTN2	0.547496142	-0.267155612	13.92966965	4.33E-39	3.98E-38	77.90946417
GRAMD3	-1.879693425	0.098705456	-13.92962327	4.33E-39	3.98E-38	77.90895986
LOXL3	-0.766483681	0.244396029	-13.92931686	4.35E-39	3.99E-38	77.90562824
RG9MTD3	0.492619368	-0.450867532	13.92929972	4.35E-39	3.99E-38	77.90544184
MAP3K6	-0.706947199	0.029476639	-13.92878292	4.37E-39	4.01E-38	77.89982275
P4HA1	-1.405914224	-0.006168916	-13.92770836	4.42E-39	4.06E-38	77.88813944
STK10	-0.472802224	0.038922288	-13.92599875	4.51E-39	4.13E-38	77.86955264
TSPAN14	-0.557584461	0.492295605	-13.92331706	4.64E-39	4.26E-38	77.84039991
CRYZL1	0.745900152	-0.408208778	13.92309652	4.65E-39	4.26E-38	77.83800259
HAVCR2	-1.440600744	-0.313560924	-13.923092	4.65E-39	4.26E-38	77.83795344
EEF1E1	1.209229119	-0.93398525	13.92227076	4.70E-39	4.30E-38	77.8290264
SLC14A1	-2.337927235	-0.55853648	-13.92088656	4.77E-39	4.36E-38	77.81398071
ABCA7	-0.783088216	0.254916353	-13.92046388	4.79E-39	4.38E-38	77.80938646
C12orf10	0.682866348	-0.011697452	13.91925843	4.85E-39	4.44E-38	77.7962845
RANBP3L	-2.164970949	0.224735395	-13.91905624	4.86E-39	4.44E-38	77.79408696
ZNF600	-0.460579362	0.069223117	-13.9097127	5.39E-39	4.92E-38	77.69255542
SEZ6	1.315853647	0.375556049	13.90830818	5.47E-39	4.99E-38	77.67729654
ELK3	-0.647032603	0.005766666	-13.90659917	5.57E-39	5.09E-38	77.65873084
MBD6	-0.95212022	0.351901053	-13.90562377	5.63E-39	5.14E-38	77.64813517
VPS26B	0.871831088	-0.233891484	13.90264459	5.82E-39	5.31E-38	77.61577539
LOC645405	2.309617833	-2.094681646	13.90255057	5.83E-39	5.31E-38	77.61475425
ZFP36L2	-1.021175954	-0.191313979	-13.90188675	5.87E-39	5.34E-38	77.60754443
PPP1R3B	-0.762522387	0.061880613	-13.90185366	5.87E-39	5.34E-38	77.60718503
OPN3	0.958184524	-0.624336081	13.90079016	5.94E-39	5.40E-38	77.59563463
GABRA5	1.029444902	-0.325997181	13.89790814	6.13E-39	5.58E-38	77.5643363
CCDC120	-1.050134652	0.512141682	-13.89780195	6.14E-39	5.58E-38	77.56318316
NNT	0.834220149	-0.402085601	13.89748761	6.16E-39	5.60E-38	77.55976963
SLC27A5	-0.49732018	0.202777197	-13.89580129	6.27E-39	5.70E-38	77.54145845
RPA3	1.139684476	-0.642484793	13.89275134	6.49E-39	5.89E-38	77.50834319
C7orf53	-1.71175042	-0.393188782	-13.89271882	6.49E-39	5.89E-38	77.50799017
RAB40B	0.8840768	-0.323149799	13.89237884	6.51E-39	5.91E-38	77.504299
SPRY4	1.45686578	0.245455171	13.89197575	6.54E-39	5.93E-38	77.49992285
C14orf24	0.575651219	-0.418532878	13.89194292	6.54E-39	5.93E-38	77.49956633
PDLIM4	-2.611139684	-0.465646027	-13.89161756	6.57E-39	5.95E-38	77.49603407
YARS	1.449809935	-1.348120559	13.8904248	6.65E-39	6.02E-38	77.48308524
GUF1	1.313676854	-0.987625518	13.88837271	6.80E-39	6.16E-38	77.46080883
HOXA2	0.274459243	-0.032334779	13.88703349	6.90E-39	6.24E-38	77.44627193
ZBTB40	-0.829121885	0.193388474	-13.88392171	7.14E-39	6.46E-38	77.41249752
MEIS2	1.00512272	-0.903749253	13.88150155	7.34E-39	6.63E-38	77.3862327
ANKRD13D	-1.236231188	0.352882048	-13.88013128	7.45E-39	6.72E-38	77.37136291
INPP5F	1.312901982	-0.45273327	13.87947548	7.50E-39	6.77E-38	77.36424661
CAMLG	1.051925933	-0.652661429	13.8793398	7.51E-39	6.78E-38	77.36277439
RBMS1	-0.439265645	0.111566169	-13.87780671	7.64E-39	6.89E-38	77.34613925
GPBP1	-0.78660102	-0.075468184	-13.87573619	7.81E-39	7.04E-38	77.32367433
TCF7L1	-1.289184722	0.579987528	-13.8747907	7.89E-39	7.11E-38	77.31341652
RG9MTD1	0.882155444	-0.635340082	13.87369027	7.99E-39	7.19E-38	77.30147823
BBX	-1.1366227	-0.311795668	-13.87300087	8.05E-39	7.25E-38	77.29399927
HDAC1	-0.714629409	-0.109322802	-13.87088004	8.24E-39	7.41E-38	77.27099305
TMEM2	-1.147321115	-0.01358687	-13.86692173	8.60E-39	7.74E-38	77.22805959
EPHA3	0.633177201	-0.140634288	13.86502711	8.78E-39	7.89E-38	77.20751215
NUP98	-0.508993287	0.162792746	-13.86204208	9.07E-39	8.15E-38	77.17514244
MCHR1	0.738941948	-0.319616213	13.86058253	9.22E-39	8.28E-38	77.15931643
LOC150786	0.611538853	0.000917919	13.85998338	9.28E-39	8.33E-38	77.1528201
PRDM6	-2.551991189	-0.010595763	-13.85943415	9.34E-39	8.38E-38	77.14686509
CYB5D2	0.994314323	-0.459404312	13.85885156	9.39E-39	8.43E-38	77.14054867
SEDLP	0.990962379	-0.678030919	13.85820378	9.46E-39	8.48E-38	77.13352553
TCEAL4	0.68259387	-0.933529573	13.85795682	9.49E-39	8.50E-38	77.13084809
GIMAP7	-0.919478471	0.237730509	-13.85485105	9.81E-39	8.79E-38	77.09717874
KIAA1524	1.66878412	-0.147515202	13.85452698	9.85E-39	8.82E-38	77.09366577
NCAM1	0.37921082	-0.016462888	13.85315751	1.00E-38	8.95E-38	77.07882109
LOC286063	0.824142064	-0.548214854	13.85279211	1.00E-38	8.98E-38	77.07486038
TMED4	1.0612517	-0.602796948	13.85227339	1.01E-38	9.02E-38	77.06923793
CIB4	1.785245656	-1.358594203	13.85099418	1.02E-38	9.15E-38	77.05537288
C9orf4	1.751435176	-1.386322886	13.85082399	1.03E-38	9.16E-38	77.05352826
EFHD1	-1.940637143	-0.196446618	-13.85032158	1.03E-38	9.21E-38	77.04808304
PPIC	-0.711287305	-0.146675236	-13.84952423	1.04E-38	9.28E-38	77.03944127
C5orf32	-0.966926241	0.110474957	-13.84856157	1.05E-38	9.38E-38	77.02900842
NLGN4X	1.089313281	-0.733830854	13.84849773	1.05E-38	9.38E-38	77.02831653
CIZ1	-0.735231369	0.482906666	-13.84733576	1.07E-38	9.49E-38	77.0157241
NDUFB1	0.742069949	0.217926781	13.84592612	1.08E-38	9.64E-38	77.00044844
MFSD1	1.034071804	-0.625061137	13.84128983	1.14E-38	1.01E-37	76.9502133
BST2	-1.435408727	0.151069861	-13.84065647	1.15E-38	1.02E-37	76.94335149
C18orf10	0.770779	-0.486831416	13.84050474	1.15E-38	1.02E-37	76.94170764
PVRL3	0.479702911	-0.195572975	13.83958555	1.16E-38	1.03E-37	76.93174945
SNAP91	1.136338473	-0.574842297	13.83743143	1.19E-38	1.05E-37	76.90841406
BMPER	1.056119581	-0.465807175	13.83683055	1.19E-38	1.06E-37	76.90190507
PRELP	-0.969154662	-0.105023766	-13.83609811	1.20E-38	1.07E-37	76.89397133
TMEM130	1.810106912	-0.392140447	13.83472291	1.22E-38	1.08E-37	76.87907569
SILV	-0.576639763	-0.175797431	-13.83377856	1.24E-38	1.10E-37	76.8688474
CCDC96	0.676512821	-0.337583083	13.8335373	1.24E-38	1.10E-37	76.86623432
C10orf105	-2.275245703	-0.173090984	-13.8314004	1.27E-38	1.12E-37	76.84309124
UBE2N	0.478964547	-0.140739713	13.8307124	1.28E-38	1.13E-37	76.8356404
HPDL	0.638239778	0.028360352	13.83060956	1.28E-38	1.13E-37	76.83452676
MMACHC	1.061216761	-0.38081723	13.83052486	1.28E-38	1.13E-37	76.83360947
LHFPL4	1.257528282	-0.876207154	13.82945696	1.29E-38	1.15E-37	76.822045
RASSF8	-0.727224793	0.403179194	-13.82671963	1.33E-38	1.18E-37	76.79240432
RFTN2	-0.984281044	1.188244167	-13.82638615	1.34E-38	1.18E-37	76.78879355
FIG4	0.746340213	-0.353423788	13.81846471	1.46E-38	1.29E-37	76.70303767
MRPS7	0.766940208	-0.453508435	13.81828939	1.46E-38	1.29E-37	76.70114005
LYN	-1.382439343	-0.163375592	-13.81802121	1.47E-38	1.29E-37	76.6982373
MMP9	-0.846258291	1.232457229	-13.81515798	1.51E-38	1.34E-37	76.66724796
FBXL10	0.742678449	-0.506995102	13.81207227	1.57E-38	1.38E-37	76.6338548
GIMAP2	-1.389373514	0.485386259	-13.81124043	1.58E-38	1.39E-37	76.62485355
LYZL4	0.819620796	-0.248444351	13.8099637	1.60E-38	1.41E-37	76.61103867
KCNK2	1.246246438	-0.857178295	13.80731925	1.65E-38	1.45E-37	76.58242662
SLC7A11	-0.954257376	0.431929424	-13.80485108	1.69E-38	1.49E-37	76.5557247
MYO9B	-0.797377888	0.173768625	-13.80484899	1.69E-38	1.49E-37	76.55570206
IRF2	-0.939186543	0.989625501	-13.80420638	1.71E-38	1.50E-37	76.54875045
WDR17	0.519550644	0.157067245	13.80115701	1.76E-38	1.55E-37	76.51576538
TEAD3	-1.03710528	0.254142188	-13.80101796	1.77E-38	1.55E-37	76.51426144
SYN3	1.411817454	-0.599395589	13.80076622	1.77E-38	1.55E-37	76.51153857
MGST3	0.320216021	0.121524364	13.79909912	1.80E-38	1.58E-37	76.49350753
BCL11B	0.900863071	-0.154485784	13.79782295	1.83E-38	1.60E-37	76.4797056
LOC150568	1.113261615	-0.665706267	13.79738482	1.84E-38	1.61E-37	76.47496739
TBX6	-0.682682241	0.218244864	-13.79734737	1.84E-38	1.61E-37	76.47456234
RGS1	-2.392729549	-0.90151919	-13.79412989	1.90E-38	1.67E-37	76.43976886
LOC391556	-0.693635536	-0.049167742	-13.7930218	1.93E-38	1.69E-37	76.42778714
STAU2	0.596089165	-0.168260886	13.79182543	1.95E-38	1.71E-37	76.4148515
SLC38A1	0.530450585	-0.112221652	13.7917374	1.95E-38	1.71E-37	76.41389973
NAV3	1.014808718	-0.630369949	13.78999898	1.99E-38	1.74E-37	76.3951044
HPCAL4	0.706736068	-0.260507361	13.78013058	2.22E-38	1.94E-37	76.28843563
POU4F3	0.424340014	-0.05617297	13.77835503	2.26E-38	1.97E-37	76.26924815
FOXF1	-1.833582733	0.648050276	-13.77755187	2.28E-38	1.99E-37	76.26056917
KIAA1086	1.16817852	-0.229560597	13.77673963	2.30E-38	2.01E-37	76.25179247
WDR47	1.037976535	-0.379189175	13.77667496	2.30E-38	2.01E-37	76.25109371
CHD7	-0.929646808	0.059853889	-13.77307517	2.39E-38	2.09E-37	76.21219957
BRUNOL4	0.568318001	-0.202224162	13.7724066	2.41E-38	2.10E-37	76.20497659
GJA4	-0.823762028	0.310475761	-13.7706123	2.46E-38	2.14E-37	76.18559262
C16orf33	0.642624791	-0.136054497	13.7705919	2.46E-38	2.14E-37	76.18537222
C20orf121	0.775835529	-0.497395578	13.76914456	2.50E-38	2.18E-37	76.16973757
MYCBP2	0.46170553	0.072086833	13.76724193	2.55E-38	2.22E-37	76.14918617
MGP	-4.083135414	-0.101693053	-13.7666484	2.57E-38	2.23E-37	76.14277545
FGFR4	-1.380420868	0.369719805	-13.76580484	2.59E-38	2.25E-37	76.13366445
SMARCA2	0.779862028	-0.448176491	13.76544195	2.60E-38	2.26E-37	76.12974507
FLJ33065	0.461845529	-0.02941547	13.76196692	2.70E-38	2.35E-37	76.09221619
KRTAP13.4	0.537920739	-0.128480429	13.75994057	2.76E-38	2.40E-37	76.07033508
TCF15	-1.054805723	0.271558227	-13.75986866	2.76E-38	2.40E-37	76.06955858
BATF	-0.740845993	-0.046495624	-13.75506929	2.91E-38	2.53E-37	76.01774086
HIG2	-2.949305094	-0.554442968	-13.75449759	2.93E-38	2.54E-37	76.01156908
KIF12	0.958194135	0.044467757	13.75351528	2.96E-38	2.57E-37	76.00096477
GRAMD1B	1.538640978	-0.47902653	13.75159757	3.02E-38	2.62E-37	75.98026388
GDPD3	-1.219801958	0.214725122	-13.74923248	3.10E-38	2.69E-37	75.95473605
hCG_1990170	1.430318441	-0.11682425	13.74669217	3.19E-38	2.76E-37	75.9273198
FGFR1	-0.817872164	0.254475104	-13.74500483	3.25E-38	2.81E-37	75.9091107
EFNA1	-1.824378422	-0.489069502	-13.74436116	3.27E-38	2.83E-37	75.90216487
FLJ43315	1.2637942	-0.640868223	13.74352517	3.30E-38	2.85E-37	75.89314395
PLEKHB1	-1.029979353	0.201759159	-13.74155344	3.37E-38	2.91E-37	75.87186883
TPD52	1.049026624	-0.845347281	13.73985755	3.43E-38	2.97E-37	75.85357142
TEX10	0.841999109	-0.414189552	13.73845874	3.49E-38	3.01E-37	75.83848028
BBS2	-1.085991085	0.019461235	-13.73826626	3.49E-38	3.02E-37	75.83640381
CPNE7	0.610644979	-0.176958976	13.73729384	3.53E-38	3.05E-37	75.8259134
SOBP	0.701423775	-0.448812058	13.73683128	3.55E-38	3.06E-37	75.82092354
FAM129A	-0.869220973	0.071934473	-13.73601079	3.58E-38	3.09E-37	75.81207264
LOC339505	0.310442858	0.108237868	13.73444419	3.64E-38	3.14E-37	75.795174
ACVRL1	-1.048331067	0.264519801	-13.73421232	3.65E-38	3.15E-37	75.79267303
ALDH1A3	1.221553568	-0.441298515	13.7288525	3.87E-38	3.33E-37	75.73486667
SMS	1.046329709	-0.863451353	13.72788314	3.91E-38	3.37E-37	75.7244134
FGF9	1.32059806	-0.539414833	13.72504501	4.03E-38	3.47E-37	75.69381027
BMP7	-0.998387307	0.248129288	-13.72198555	4.17E-38	3.59E-37	75.66082468
GJA1	-2.836239098	-0.06386377	-13.72038482	4.24E-38	3.65E-37	75.64356801
RPH3A	0.93454765	0.46136752	13.72038216	4.24E-38	3.65E-37	75.64353935
PLOD3	-1.420110708	0.131830283	-13.71987693	4.27E-38	3.66E-37	75.63809301
P4HA2	-0.705868776	-0.02529747	-13.71783625	4.36E-38	3.74E-37	75.61609565
LOC128977	0.334774721	0.012658881	13.71783099	4.36E-38	3.74E-37	75.61603895
CYP3A5	-0.637967912	-0.029684158	-13.71672337	4.42E-38	3.79E-37	75.60410026
LSP1	-0.801994832	0.124394966	-13.714066	4.55E-38	3.90E-37	75.5754595
PCTP	-0.802581937	-0.102304203	-13.71306513	4.60E-38	3.94E-37	75.56467304
DGKI	0.458235555	-0.281940479	13.71110388	4.69E-38	4.02E-37	75.5435379
LOC116349	0.843226182	-0.400423019	13.71097796	4.70E-38	4.02E-37	75.54218108
ANKRD50	0.942361462	-0.637842757	13.7105325	4.72E-38	4.04E-37	75.53738086
CKMT1B	2.019242025	-1.403345535	13.70744941	4.88E-38	4.18E-37	75.50416064
GPD1	1.386085946	-0.874967125	13.70493055	5.02E-38	4.29E-37	75.47702316
PIM3	-1.12514638	-0.120757018	-13.70133248	5.22E-38	4.46E-37	75.43826361
TFEC	-0.784077939	0.059661615	-13.70124496	5.22E-38	4.46E-37	75.43732086
CDC34	0.694269743	0.012806903	13.70092056	5.24E-38	4.48E-37	75.43382665
PRPF19	0.613554212	-0.232617418	13.70033742	5.28E-38	4.50E-37	75.42754554
AADACL1	0.710232652	0.115511539	13.69943097	5.33E-38	4.54E-37	75.41778231
USP10	0.576851007	-0.827355479	13.69716942	5.46E-38	4.66E-37	75.39342505
PRR16	1.136523282	-0.059430259	13.69419302	5.64E-38	4.81E-37	75.36137228
TACC3	-0.667083329	0.283649739	-13.68497405	6.23E-38	5.31E-37	75.26211899
HLA.DRB1	-1.139946546	-0.511555068	-13.68489994	6.24E-38	5.31E-37	75.2613212
CREB3L2	-0.998099228	-0.075041226	-13.68466954	6.25E-38	5.32E-37	75.2588412
LOC388279	-1.288847276	-0.000856696	-13.68405849	6.29E-38	5.35E-37	75.25226393
TCAP	-1.030018256	0.430581153	-13.68261865	6.39E-38	5.44E-37	75.23676641
TFPI	-1.190477427	0.169121223	-13.68155887	6.47E-38	5.50E-37	75.22536019
GABRE	-0.793156546	0.118967533	-13.68006799	6.57E-38	5.58E-37	75.20931498
PCDHA8	0.606299078	-0.218226204	13.67974251	6.60E-38	5.60E-37	75.20581218
ADCY5	0.557755359	-0.263568541	13.67939188	6.62E-38	5.62E-37	75.20203887
MT1E	-1.650684269	0.345302127	-13.67471011	6.97E-38	5.91E-37	75.15166048
FLJ35348	0.348727638	0.045914143	13.67188605	7.18E-38	6.09E-37	75.12127685
GRIA2	1.819741125	-1.376096992	13.67178591	7.19E-38	6.10E-37	75.12019949
C19orf23	-0.425175192	0.016870915	-13.67098043	7.25E-38	6.15E-37	75.1115342
TACC2	0.869278501	-0.75045281	13.6705915	7.28E-38	6.17E-37	75.10735018
CYBB	-2.19994933	-0.817010005	-13.66749341	7.53E-38	6.38E-37	75.07402434
AMDHD2	0.738739841	0.004773491	13.66722892	7.55E-38	6.39E-37	75.07117945
ZNF397	-1.346363761	-0.281302123	-13.66702126	7.57E-38	6.40E-37	75.06894588
HECW1	1.413963365	-1.141220711	13.66482694	7.75E-38	6.56E-37	75.04534478
HDAC4	-0.698351206	-0.211172255	-13.66416345	7.81E-38	6.60E-37	75.03820912
SLBP	0.763894259	-0.308632457	13.66209987	7.99E-38	6.75E-37	75.01601689
CLK2	-0.43258876	0.224904163	-13.66186798	8.01E-38	6.76E-37	75.01352324
C19orf25	-0.945982506	0.438180823	-13.65943257	8.22E-38	6.94E-37	74.98733491
SRPRB	0.614694519	-0.110217783	13.65364252	8.75E-38	7.38E-37	74.92508472
PRKACA	0.675068095	0.186637892	13.65254413	8.86E-38	7.47E-37	74.91327742
RBM17	-0.875844624	-0.310278021	-13.65139334	8.97E-38	7.56E-37	74.90090741
SEPHS2	0.737106114	-0.347784541	13.64979067	9.13E-38	7.69E-37	74.88368104
NEDD8	0.591702936	0.119806799	13.64640785	9.47E-38	7.97E-37	74.8473244
POGK	-0.950402166	0.022638957	-13.64612098	9.50E-38	7.99E-37	74.84424161
FBXO8	-0.460756247	0.021965857	-13.64497202	9.61E-38	8.09E-37	74.83189459
LOC643783	1.127186121	-0.418040076	13.64336116	9.78E-38	8.23E-37	74.81458485
CD34	-1.10337354	0.357696132	-13.64290163	9.83E-38	8.27E-37	74.8096471
SYN2	0.842828516	-0.494886396	13.64120243	1.00E-37	8.42E-37	74.7913898
SPINK8	-0.526746054	0.191799284	-13.63969564	1.02E-37	8.55E-37	74.77520089
ZNF711	0.828901696	-0.382747898	13.63525044	1.07E-37	8.97E-37	74.72744801
GOLGA2L1	-0.739244494	0.304725268	-13.63279428	1.10E-37	9.21E-37	74.70106638
ZNF239	1.063069715	-0.691469112	13.63206816	1.11E-37	9.27E-37	74.6932676
NRIP2	-1.352271524	-0.240846616	-13.63189558	1.11E-37	9.29E-37	74.6914141
LAMC1	-0.972230633	-0.090159709	-13.63163785	1.11E-37	9.31E-37	74.68864614
VSTM2A	0.604416351	-0.301772442	13.63133901	1.11E-37	9.34E-37	74.68543658
ZHX3	-0.983653233	0.179661918	-13.63099778	1.12E-37	9.37E-37	74.68177188
TUBAL3	-1.737180856	-0.267037046	-13.63034977	1.13E-37	9.43E-37	74.67481254
